"sNR","mode","MHz","rxTime","senderDXCC","flowStartSeconds","senderCallsign","senderLocator","receiverCallsign","receiverLocator","receiverAntennaInformation","senderDXCCADIF","submode"
-9,"FT8","14.075345","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","W2ZI","EL99LF","HyGain AV-18HT",291,
-16,"FT8","14.075340","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","KB0V","EN40li","4el at 60 ft",291,
-6,"FT8","14.075346","2022-10-15 18:33:58","United States",1665858838,"KC1QBY","FN44RG","KN4WDB","FM19FC",,291,
-15,"FT8","14.075351","2022-10-15 18:33:58","United States",1665858838,"KC1QBY","FN44RG","N4SB","EM66oc12bn",,291,
-5,"FT8","14.075309","2022-10-15 18:33:58","United States",1665858838,"KC1QBY","FN44RG","KE4UTX","FM05mv96","Yagi 20m,15m,10m @ 10m",291,
-16,"FT8","14.075345","2022-10-15 18:33:59","United States",1665858839,"KC1QBY","FN44RG","KF7JIG","EM84MQ",,291,
-12,"FT8","14.075347","2022-10-15 18:33:59","United States",1665858839,"KC1QBY","FN44RG","KD9OLN","EN71gg",,291,
-10,"FT8","14.075347","2022-10-15 18:33:59","United States",1665858839,"KC1QBY","FN44RG","KI4ABS","EM85TA",,291,
-10,"FT8","14.075453","2022-10-15 18:33:59","United States",1665858839,"KC1QBY","FN44RG","KC8PYO","FM08XQ",,291,
-12,"FT8","14.075341","2022-10-15 18:33:59","United States",1665858839,"KC1QBY","FN44RG","WD4GBW","FM17ek67lb","Dipole",291,
0,"FT8","14.075347","2022-10-15 18:33:59","United States",1665858839,"KC1QBY","FN44RG","K8IG","EN91gn22","IAC Double Bazooka",291,
-11,"FT8","14.075338","2022-10-15 18:34:00","United States",1665858840,"KC1QBY","FN44RG","AC8ZF","EN82ew60",,291,
-18,"FT8","14.075361","2022-10-15 18:34:00","United States",1665858840,"KC1QBY","FN44RG","N5VX","FM14GS","DALE IN JACKSONVILLE, NC FLEX 6600, VERTICAL, EFHW, DOUBLET",291,
-12,"FT8","14.075350","2022-10-15 18:34:00","United States",1665858840,"KC1QBY","FN44RG","W9AV","EN43TE",,291,
-15,"FT8","14.075347","2022-10-15 18:34:00","United States",1665858840,"KC1QBY","FN44RG","W3GQ","EM95mn39","Dipole",291,
-9,"FT8","14.075336","2022-10-15 18:34:00","United States",1665858840,"KC1QBY","FN44RG","K9IMM","EN52CV","TH-7 @ 110' or TH-7 @ 27'",291,
-6,"FT8","14.075354","2022-10-15 18:34:00","United States",1665858840,"KC1QBY","FN44RG","K1HTV-4","FM18ap","Dipole, Beam",291,
-24,"FT8","14.075351","2022-10-15 18:34:00","United States",1665858840,"KC1QBY","FN44RG","KA9WAR","EN65CB",,291,
-14,"FT8","14.075326","2022-10-15 18:34:00","United States",1665858840,"KC1QBY","FN44RG","AB4KN","EM73RK","Multiband EFHW-4010 wire antenna",291,
8,"FT8","14.075338","2022-10-15 18:34:00","United States",1665858840,"KC1QBY","FN44RG","K1RA-4","FM18cr","50' vertical",291,
-19,"FT8","14.075349","2022-10-15 18:34:01","United States",1665858841,"KC1QBY","FN44RG","F4JNW","JN18bc","Dipole",291,
-15,"FT8","14.075339","2022-10-15 18:34:02","United States",1665858842,"KC1QBY","FN44RG","KQ3K","EL89XE","NA",291,
-12,"FT8","14.075343","2022-10-15 18:34:07","United States",1665858847,"KC1QBY","FN44RG","KO4HXC","FM18JV","HWEF vertical",291,
-12,"FT8","14.075339","2022-10-15 18:34:09","United States",1665858849,"KC1QBY","FN44RG","WD8BWF","EN63vb32","XIEGU 90, RANDOM WIRE VERTICLE IN TREE.",291,
-10,"FT8","14.075694","2022-10-15 18:34:11","Fed. Rep. of Germany",1665858851,"DM4SH","JO30RL","KC1QBY","FN44RG","QRP X5105 EFHW",230,
-11,"FT8","14.075342","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","AG4OB","EM86od28",,291,
-12,"FT8","14.075360","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","K4WLG","EM77ka",,291,
-9,"FT8","14.075365","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","KC9TWX","EN61PO",,291,
-20,"FT8","14.075346","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","KT4LH","EM78sb44","10/20/40/80 Fan Dipole",291,
-19,"FT8","14.075249","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","WA9FCH","FM14bf00","IC-735 ATTC DIPOLE",291,
-18,"FT8","14.075369","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","KF9UP","EN60MK","Gap Titan DX Vertical",291,
-4,"FT8","14.075340","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","K4FMX","EN55ws",,291,
-18,"FT8","14.075345","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","K9IHM","EM86fc41",,291,
-7,"FT8","14.075341","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","WQ5O","EN53UK","Dipole",291,
-11,"FT8","14.075368","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","LX1BB","JN39bq62",,291,
-11,"FT8","14.075341","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","K8SEL","EM98AT","FT891 WITH WIRE DIPOLE",291,
-13,"FT8","14.075372","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","KE8DQ","EN80gh91wi","MARYSVILLE OH",291,
-9,"FT8","14.075344","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","AC9XW","EN53OU",,291,
-13,"FT8","14.075363","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","KU4A","EM78sb44bn","3 el beam at 40'",291,
-8,"FT8","14.075350","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","KX4RS","EL88WO",,291,
-15,"FT8","14.075350","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","F4ARU","JN03MM","8 Elts@26m",291,
-16,"FT8","14.075346","2022-10-15 18:34:27","United States",1665858867,"KC1QBY","FN44RG","KD9PXG","EN52XX",,291,
-8,"FT8","14.075356","2022-10-15 18:34:28","United States",1665858868,"KC1QBY","FN44RG","KN3A","FN10sb45fx",,291,
-15,"FT8","14.075349","2022-10-15 18:34:29","United States",1665858869,"KC1QBY","FN44RG","KY4LL","EM82CW",".",291,
-6,"FT8","14.075349","2022-10-15 18:34:29","United States",1665858869,"KC1QBY","FN44RG","VE3OEN","EN82TN",,291,
-17,"FT8","14.075351","2022-10-15 18:34:29","United States",1665858869,"KC1QBY","FN44RG","KN4FYR","EN90HU","Buckmaster 4-band OCF",291,
-17,"FT8","14.075347","2022-10-15 18:34:29","United States",1665858869,"KC1QBY","FN44RG","KD0VJS","EN35KE","20/30/40 Attic Fan Dipole",291,
-13,"FT8","14.075343","2022-10-15 18:34:30","United States",1665858870,"KC1QBY","FN44RG","WB6UTW","EN74dt",,291,
0,"FT8","14.075342","2022-10-15 18:34:30","United States",1665858870,"KC1QBY","FN44RG","WF8Z","EM79SM","Hermes Lite 2, 6BTV",291,
0,"FT8","14.075348","2022-10-15 18:34:30","United States",1665858870,"KC1QBY","FN44RG","VE3FIRE","EN92IX",,291,
-17,"FT8","14.075347","2022-10-15 18:34:30","United States",1665858870,"KC1QBY","FN44RG","N0CML","EM48PS","71' EF",291,
-18,"FT8","14.075365","2022-10-15 18:34:30","United States",1665858870,"KC1QBY","FN44RG","KC4UMS","EM81hm",,291,
-10,"FT8","14.075477","2022-10-15 18:34:31","United States",1665858871,"KC1QBY","FN44RG","VE3TKB","EN92ix","Beacon Op2 every 08:12",291,
-17,"FT8","14.075385","2022-10-15 18:34:31","United States",1665858871,"KC1QBY","FN44RG","KD8UPV","EM79xs02",,291,
-14,"FT8","14.075340","2022-10-15 18:34:33","United States",1665858873,"KC1QBY","FN44RG","AE0MW","EN31CS",,291,
-16,"FT8","14.076002","2022-10-15 18:34:41","United States",1665858881,"W5FHW","EM02UH","KC1QBY","FN44RG","QRP X5105 EFHW",291,
-22,"FT8","14.075273","2022-10-15 18:34:45","United States",1665858885,"KC1QBY","FN44RG","KE0YBL/R","EN13xp13","GAP Titan DX Vertical",291,
-16,"FT8","14.075375","2022-10-15 18:34:57","United States",1665858897,"KC1QBY","FN44RG","K8CC","EN82HH",,291,
-15,"FT8","14.075342","2022-10-15 18:34:57","United States",1665858897,"KC1QBY","FN44RG","KG9JP","EN54sf80","Cobra Ultralite Sr-Inv V @ 40ft",291,
-19,"FT8","14.075343","2022-10-15 18:34:57","United States",1665858897,"KC1QBY","FN44RG","WA5VXI","EM25LT","NA",291,
-16,"FT8","14.075345","2022-10-15 18:34:57","United States",1665858897,"KC1QBY","FN44RG","KD9TPE","EN50MH",,291,
-9,"FT8","14.075341","2022-10-15 18:34:57","United States",1665858897,"KC1QBY","FN44RG","W3SMK","FM19MG",,291,
-16,"FT8","14.075346","2022-10-15 18:34:57","United States",1665858897,"KC1QBY","FN44RG","KD9MIL","EN54tg47","Comet CHA-250B",291,
-22,"FT8","14.075330","2022-10-15 18:34:59","United States",1665858899,"KC1QBY","FN44RG","LA3WJA","JP32BE",,291,
-15,"FT8","14.075343","2022-10-15 18:34:59","United States",1665858899,"KC1QBY","FN44RG","WA1SXK","EM95lf57",,291,
-7,"FT8","14.075336","2022-10-15 18:35:13","United States",1665858913,"KC1QBY","FN44RG","N3GO","FM05PQ","QDX 3W",291,
-23,"FT8","14.075347","2022-10-15 18:35:27","United States",1665858927,"KC1QBY","FN44RG","N3VQH","FN10od56",,291,
-19,"FT8","14.075339","2022-10-15 18:35:27","United States",1665858927,"KC1QBY","FN44RG","PD1AIQ","JO22RM","GPA-50 + KT-34m2",291,
-18,"FT8","14.075341","2022-10-15 18:35:27","United States",1665858927,"KC1QBY","FN44RG","AI4FR","EL88TJ","270' OCFD up 30'",291,
-17,"FT8","14.075339","2022-10-15 18:35:27","United States",1665858927,"KC1QBY","FN44RG","NR0L","EN35FB","PLYMOUTH, MN",291,
-6,"FT8","14.075348","2022-10-15 18:35:27","United States",1665858927,"KC1QBY","FN44RG","KJ4ASE","FM17GH","KW TS-450 (1996), EFHW IN TREES 15' UP",291,
-13,"FT8","14.075336","2022-10-15 18:35:29","United States",1665858929,"KC1QBY","FN44RG","KD9MEQ","EM69wx80",,291,
-17,"FT8","14.075236","2022-10-15 18:35:29","United States",1665858929,"KC1QBY","FN44RG","AC3EK","FM19rj41","IC7300, SUPERANTENNA VERTICAL, PARKVILLE, MARYLAND",291,
-18,"FT8","14.075694","2022-10-15 18:35:29","United States",1665858929,"KC1QBY","FN44RG","DL3LO","JO51HW",,291,
-21,"FT8","14.075327","2022-10-15 18:35:29","United States",1665858929,"KC1QBY","FN44RG","VA3FES","EN92KV",,291,
-22,"FT8","14.075340","2022-10-15 18:35:29","United States",1665858929,"KC1QBY","FN44RG","KD9SZQ","EN54JT","3 ele Stepp IR @ 20m",291,
