grid,lat,lon
AG31,-29.0,-174.0
AG32,-28.0,-174.0
AG33,-27.0,-174.0
AG34,-26.0,-174.0
AG35,-25.0,-174.0
AG36,-24.0,-174.0
AG37,-23.0,-174.0
AG38,-22.0,-174.0
AG39,-21.0,-174.0
AG40,-30.0,-172.0
AG41,-29.0,-172.0
AG42,-28.0,-172.0
AG43,-27.0,-172.0
AG44,-26.0,-172.0
AG45,-25.0,-172.0
AG46,-24.0,-172.0
AG47,-23.0,-172.0
AG48,-22.0,-172.0
AG49,-21.0,-172.0
AG50,-30.0,-170.0
AG51,-29.0,-170.0
AG52,-28.0,-170.0
AG53,-27.0,-170.0
AG54,-26.0,-170.0
AG55,-25.0,-170.0
AG56,-24.0,-170.0
AG57,-23.0,-170.0
AG58,-22.0,-170.0
AG59,-21.0,-170.0
AG60,-30.0,-168.0
AG61,-29.0,-168.0
AG62,-28.0,-168.0
AG63,-27.0,-168.0
AG64,-26.0,-168.0
AG65,-25.0,-168.0
AG66,-24.0,-168.0
AG67,-23.0,-168.0
AG68,-22.0,-168.0
AG69,-21.0,-168.0
AG70,-30.0,-166.0
AG71,-29.0,-166.0
AG72,-28.0,-166.0
AG73,-27.0,-166.0
AG74,-26.0,-166.0
AG75,-25.0,-166.0
AG76,-24.0,-166.0
AG77,-23.0,-166.0
AG78,-22.0,-166.0
AG79,-21.0,-166.0
AG80,-30.0,-164.0
AG81,-29.0,-164.0
AG82,-28.0,-164.0
AG83,-27.0,-164.0
AG84,-26.0,-164.0
AG85,-25.0,-164.0
AG86,-24.0,-164.0
AG87,-23.0,-164.0
AG88,-22.0,-164.0
AG89,-21.0,-164.0
AG90,-30.0,-162.0
AG91,-29.0,-162.0
AG92,-28.0,-162.0
AG93,-27.0,-162.0
AG94,-26.0,-162.0
AG95,-25.0,-162.0
AG96,-24.0,-162.0
AG97,-23.0,-162.0
AG98,-22.0,-162.0
AG99,-21.0,-162.0
AH00,-20.0,-180.0
AH01,-19.0,-180.0
AH02,-18.0,-180.0
AH03,-17.0,-180.0
AH04,-16.0,-180.0
AH05,-15.0,-180.0
AH06,-14.0,-180.0
AH07,-13.0,-180.0
AH08,-12.0,-180.0
AH09,-11.0,-180.0
AH10,-20.0,-178.0
AH11,-19.0,-178.0
AH12,-18.0,-178.0
AH13,-17.0,-178.0
AH14,-16.0,-178.0
AH15,-15.0,-178.0
AH16,-14.0,-178.0
AH17,-13.0,-178.0
AH18,-12.0,-178.0
AH19,-11.0,-178.0
AH20,-20.0,-176.0
AH21,-19.0,-176.0
AH22,-18.0,-176.0
AH23,-17.0,-176.0
AH24,-16.0,-176.0
AH25,-15.0,-176.0
AH26,-14.0,-176.0
AH27,-13.0,-176.0
AH28,-12.0,-176.0
AH29,-11.0,-176.0
AH30,-20.0,-174.0
AH31,-19.0,-174.0
AH32,-18.0,-174.0
AH33,-17.0,-174.0
AH34,-16.0,-174.0
AH35,-15.0,-174.0
AH36,-14.0,-174.0
AH37,-13.0,-174.0
AH38,-12.0,-174.0
AH39,-11.0,-174.0
